ID,TEMPAT LAHIR,TANGGAL LAHIR,AGAMA,TAHUN MASUK,TAHUN LULUS,PRODI,KONSENTRASI,JUMLAH SEMESTER TEMPUTH,JENIS WAKTU KELAS,IPK,JENIS KELAMIN
MHS_1,DENPASAR,11/23/1991,HINDU,2010,0,SK,Networking & Cyber Security,6,PAGI,1.28,L
MHS_2,TABANAN,6/11/1991,HINDU,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.19,L
MHS_3,JAKARTA PUSAT,4/30/1986,ISLAM,2010,2012,SK,Undefined,3,PAGI,0,L
MHS_4,LAMONGAN,1/4/1991,ISLAM,2010,2014,SK,Networking & Cyber Security,8,PAGI,3.07,L
MHS_5,DENPASAR,6/14/1985,HINDU,2010,0,SK,Networking & Cyber Security,13,PAGI,3.29,L
MHS_6,BULELENG,4/30/1992,HINDU,2010,0,SK,Networking & Cyber Security,4,PAGI,2.81,L
MHS_7,NYAMPUAN,12/18/1992,HINDU,2010,2016,SK,Networking & Cyber Security,12,PAGI,2.94,L
MHS_8,PENESTEANAN,8/10/1992,HINDU,2010,0,SK,Networking & Cyber Security,9,PAGI,3.41,P
MHS_9,DENPASAR,7/19/1990,ISLAM,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.16,L
MHS_10,TEBONGKANG,5/18/1992,KRISTEN,2010,0,SK,Networking & Cyber Security,11,PAGI,2.82,L
MHS_11,DENPASAR,2/5/1992,HINDU,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.29,L
MHS_12,GIANYAR,7/10/1992,ISLAM,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.31,L
MHS_13,GRESIK,11/6/1988,ISLAM,2010,2015,SK,Networking & Cyber Security,11,PAGI,2.92,L
MHS_14,BULELENG,5/4/1993,HINDU,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.15,L
MHS_15,DENPASAR,7/26/1990,HINDU,2010,0,SK,Networking & Cyber Security,1,PAGI,0,L
MHS_16,BULELENG,3/24/1988,HINDU,2010,0,SK,Networking & Cyber Security,0,PAGI,0,L
MHS_17,MATARAM,9/7/1991,HINDU,2010,0,SK,Networking & Cyber Security,3,PAGI,2.92,L
MHS_18,TABANAN,4/27/1992,HINDU,2010,0,SK,Networking & Cyber Security,3,PAGI,1.84,L
MHS_19,DENPASAR,11/16/1989,HINDU,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.49,P
MHS_20,DENPASAR,8/30/1991,HINDU,2010,2014,SK,Networking & Cyber Security,8,PAGI,3.49,L
MHS_21,KLUNGKUNG,8/14/1992,HINDU,2010,0,SK,Networking & Cyber Security,1,PAGI,0.61,L
MHS_22,TABANAN,3/19/1992,HINDU,2010,2015,SK,Networking & Cyber Security,11,PAGI,3.09,L
MHS_23,DENPASAR,4/13/1992,ISLAM,2010,0,SK,Networking & Cyber Security,13,MALAM,1.48,L
MHS_24,BADUNG,2/1/1993,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,2.97,P
MHS_25,KLUNGKUNG,10/3/1992,HINDU,2010,2014,SK,Networking & Cyber Security,8,PAGI,3.45,L
MHS_26,DENPASAR,9/2/1992,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.42,L
MHS_27,SURABAYA,12/27/1991,HINDU,2010,2017,SK,Networking & Cyber Security,13,PAGI,3.31,L
MHS_28,DENPASAR,3/9/1991,HINDU,2010,2014,SK,Networking & Cyber Security,9,PAGI,3.31,L
MHS_29,DENPASAR,9/15/1992,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.03,L
MHS_30,TABANAN,6/26/1992,HINDU,2010,2014,SK,Networking & Cyber Security,7,PAGI,3.66,P
MHS_31,DENPASAR,10/7/1992,HINDU,2010,2014,SK,Networking & Cyber Security,7,PAGI,3.71,P
MHS_32,DENPASAR,6/11/1992,HINDU,2010,2016,SK,Networking & Cyber Security,12,PAGI,3.11,L
MHS_33,TEGALLALANG,4/4/1992,KRISTEN,2010,2014,SK,Networking & Cyber Security,8,PAGI,3.4,L
MHS_34,TABANAN,6/25/1992,HINDU,2010,0,SK,Networking & Cyber Security,2,PAGI,1.13,L
MHS_35,PANDAK GEDE,5/6/1992,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.32,L
MHS_36,TIMOR LESTE,3/1/1993,KATOLIK,2010,2014,SK,Networking & Cyber Security,8,PAGI,2.99,P
MHS_37,SURANADI,4/20/1992,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.35,L
MHS_38,BULELENG,8/24/1992,HINDU,2010,2014,SK,Networking & Cyber Security,8,PAGI,3.32,P
MHS_39,BANGLI,2/15/1992,HINDU,2010,0,SK,Networking & Cyber Security,13,PAGI,2.66,L
MHS_40,DENPASAR,6/14/1991,ISLAM,2010,0,SK,Networking & Cyber Security,3,PAGI,1.39,L
MHS_41,BADUNG,4/9/1992,HINDU,2010,2016,SK,Networking & Cyber Security,13,PAGI,3.13,P
MHS_42,DENPASAR,10/26/1992,HINDU,2010,2015,SK,Networking & Cyber Security,11,PAGI,3.35,L
MHS_43,BADUNG,8/18/1992,HINDU,2010,2015,SK,Networking & Cyber Security,10,PAGI,3.35,P
